"germplasmName","MWgroup","Institute","FullSampleName"
"IITA-TMS-IBA010903","TrainingPopulations","NRCRI","I010903:250163978"
"IITA-TMS-IBA010903","TrainingPopulations","NRCRI","TMS010903:250399834"
"IITA-TMS-IBA010903","TrainingPopulations","NRCRI","TMS010903:250251105"
"IITA-TMS-IBA070126","TrainingPopulations","NRCRI","I070126:250164023"
"IITA-TMS-IBA070126","TrainingPopulations","NRCRI","I070126:250300147"
"IITA-TMS-IBA070126","TrainingPopulations","NRCRI","I070126:250099279"
"IITA-TMS-IBA070126","TrainingPopulations","NRCRI","I070126:250300933"
"IITA-TMS-IBA070749","TrainingPopulations","NRCRI","I070749:250300162"
"IITA-TMS-IBA070749","TrainingPopulations","NRCRI","I070749:250099110"
"IITA-TMS-IBA070749","TrainingPopulations","NRCRI","TMS070749:250107986"
"IITA-TMS-IBA011412","TrainingPopulations","NRCRI","I011412:250300323"
"IITA-TMS-IBA011412","TrainingPopulations","NRCRI","I011412:250302251"
"IITA-TMS-IBA011412","TrainingPopulations","NRCRI","TMS011412:250134531"
"IITA-TMS-IBA011206","TrainingPopulations","NRCRI","I011206:250300325"
"IITA-TMS-IBA011206","TrainingPopulations","NRCRI","I011206:250099287"
"IITA-TMS-IBA011206","TrainingPopulations","NRCRI","TMS011206:250134484"
"TMEB1","TrainingPopulations","NRCRI","TMEB1:250253593"
"TMEB1","TrainingPopulations","NRCRI","ANTIOTA:250304609"
"TMEB1","TrainingPopulations","NRCRI","TME1:250134469"
"IITA-TMS-IBA051653","TrainingPopulations","NRCRI","I051653:250300212"
"IITA-TMS-IBA051653","TrainingPopulations","NRCRI","TMS051653:250134453"
"IITA-TMS-IBA051653","TrainingPopulations","NRCRI","TMS051653:250399893"
"IITA-TMS-IBA050303","TrainingPopulations","NRCRI","I050303:250300200"
"IITA-TMS-IBA050303","TrainingPopulations","NRCRI","TMS050303:250107974"
"IITA-TMS-IBA050303","TrainingPopulations","NRCRI","TMS050303:250399895"
"IITA-TMS-IBA050998","TrainingPopulations","NRCRI","I050998:250300197"
"IITA-TMS-IBA050998","TrainingPopulations","NRCRI","I050998:250099313"
"IITA-TMS-IBA050998","TrainingPopulations","NRCRI","TMS050998:250134480"
"IITA-TMS-IBA9102324","TrainingPopulations","NRCRI","I9102324:250090766"
"IITA-TMS-IBA9102324","TrainingPopulations","NRCRI","I9102324:250399839"
"IITA-TMS-IBA9102324","TrainingPopulations","NRCRI","TMS9102324:250134500"
"IITA-TMS-IBA051632","TrainingPopulations","NRCRI","I051632:250300196"
"IITA-TMS-IBA051632","TrainingPopulations","NRCRI","TMS051632:250134497"
"IITA-TMS-IBA051632","TrainingPopulations","NRCRI","TMS051632:250399898"
"IITA-TMS-IBA050128","TrainingPopulations","NRCRI","I050128:250300204"
"IITA-TMS-IBA050128","TrainingPopulations","NRCRI","TMS050128:250107908"
"IITA-TMS-IBA050128","TrainingPopulations","NRCRI","TMS050128:250399901"
"IITA-TMS-IBA070539","TrainingPopulations","NRCRI","I070539:250300145"
"IITA-TMS-IBA070539","TrainingPopulations","NRCRI","I070539:250099236"
"IITA-TMS-IBA070539","TrainingPopulations","NRCRI","TMS070539:250107976"
"IITA-TMS-IBA051658","TrainingPopulations","NRCRI","I051658:250300195"
"IITA-TMS-IBA051658","TrainingPopulations","NRCRI","TMS051658:250107942"
"IITA-TMS-IBA051658","TrainingPopulations","NRCRI","TMS051658:250399910"
"IITA-TMS-IBA070632","TrainingPopulations","NRCRI","I070632:250300155"
"IITA-TMS-IBA070632","TrainingPopulations","NRCRI","I070632:250099041"
"IITA-TMS-IBA070632","TrainingPopulations","NRCRI","TMS070632:250134577"
"IITA-TMS-IBA051740","TrainingPopulations","NRCRI","I051740:250300206"
"IITA-TMS-IBA051740","TrainingPopulations","NRCRI","I051740:250301195"
"IITA-TMS-IBA051740","TrainingPopulations","NRCRI","TMS051740:250107967"
"IITA-TMS-IBA050127","TrainingPopulations","NRCRI","I050127:250300202"
"IITA-TMS-IBA050127","TrainingPopulations","NRCRI","TMS050127:250107994"
"IITA-TMS-IBA050127","TrainingPopulations","NRCRI","TMS050127:250399899"
"IITA-TMS-IBA010040","TrainingPopulations","NRCRI","I010040:250300336"
"IITA-TMS-IBA010040","TrainingPopulations","NRCRI","I010040:250099226"
"IITA-TMS-IBA010040","TrainingPopulations","NRCRI","TMS010040:250107945"
"IITA-TMS-IBA010034","TrainingPopulations","NRCRI","I010034:250300320"
"IITA-TMS-IBA010034","TrainingPopulations","NRCRI","I010034:250099274"
"IITA-TMS-IBA010034","TrainingPopulations","NRCRI","TMS010034:250134527"
"IITA-TMS-IBA011086","TrainingPopulations","NRCRI","I011086:250300303"
"IITA-TMS-IBA011086","TrainingPopulations","NRCRI","I011086:250099231"
"IITA-TMS-IBA011086","TrainingPopulations","NRCRI","TMS011086:250107973"
"IITA-TMS-IBA010085","TrainingPopulations","NRCRI","I010085:250300333"
